Escherichia
Escherichia coli
Helicobacter pylori
Mycobacterium
Mycobacterium adipatum
Mycobacterium aemonae
Mycobacterium africanum
Mycobacterium ahvazicum
Mycobacterium albicans
Mycobacterium album
Mycobacterium alsense
Mycobacterium angelicum
Mycobacterium anthracenicum
Mycobacterium aquaticum
Mycobacterium aquiterrae
Mycobacterium arosiense
Mycobacterium asiaticum
Mycobacterium attenuatum
Mycobacterium avium
Mycobacterium avium subsp.hominissuis
Mycobacterium barrassiae
Mycobacterium basiliense
Mycobacterium bohemicum   
Mycobacterium botniense
Mycobacterium bouchedurhonense
Mycobacterium bourgelatii
Mycobacterium bovis
Mycobacterium bovis BCG
Mycobacterium branderi
Mycobacterium brasiliensis
Mycobacterium buckleii
Mycobacterium canettii
Mycobacterium caprae
Mycobacterium celatum
Mycobacterium chesapeaki
Mycobacterium chimaera
Mycobacterium chimpanze
Mycobacterium colombiense
Mycobacterium columbarii
Mycobacterium conspicuum
Mycobacterium cookii
Mycobacterium dassie
Mycobacterium decipiens
Mycobacterium deserti
Mycobacterium dioxanotrophicus
Mycobacterium eburneum
Mycobacterium europaeum
Mycobacterium florentinum
Mycobacterium fragae
Mycobacterium fuerthensis
Mycobacterium gallinarum
Mycobacterium gastri
Mycobacterium genavense
Mycobacterium gordonae
Mycobacterium grossiae   
Mycobacterium hackensackense
Mycobacterium haemophilum
Mycobacterium heckeshornense
Mycobacterium heidelbergense
Mycobacterium helveticum
Mycobacterium hippophais
Mycobacterium hyorhinis
Mycobacterium innocens
Mycobacterium interjectum
Mycobacterium intermedium
Mycobacterium intracellulare
Mycobacterium isoniacini
Mycobacterium jacuzzii
Mycobacterium kansasii
Mycobacterium kiyosense
Mycobacterium kubicae
Mycobacterium kuopiense
Mycobacterium kyogaense
Mycobacterium kyorinense
Mycobacterium lacticola
Mycobacterium lactis
Mycobacterium lacus
Mycobacterium lehmannii
Mycobacterium lentiflavum
Mycobacterium leprae
Mycobacterium lepraemurium
Mycobacterium lepromatosis
Mycobacterium liflandii
Mycobacterium lufu
Mycobacterium malmoense
Mycobacterium mantenii
Mycobacterium marinum
Mycobacterium marseillense
Mycobacterium methanotrophicum
Mycobacterium microti
Mycobacterium montefiorense
Mycobacterium mungi
Mycobacterium nebraskense
Mycobacterium neglectum
Mycobacterium neumannii
Mycobacterium noviomagense
Mycobacterium novum
Mycobacterium numidiamassiliense
Mycobacterium orygis
Myaobacterium ostraviense
Mycobacterium palauense
Mycobacterium palustre
Mycobacterium paraense
Mycobacterium paraffinicum
Mycobacterium paragordonae
Mycobacterium paraintracellulare
Mycobacterium parascrofulaceum
Mycobacterium paraseoulense
Mycobacterium paraterrae
Mycobacterium parmense
Mycobacterium persicum
Mycobacterium petroleophilum
Mycobacterium pinnipedii
Mycobacterium piscinum
Mycobacterium pseudokansasii
Mycobacterium pseudoshottsii
Mycobacterium rhizamassiliense
Mycobacterium riyadhense
Mycobacterium sacrum
Mycobacterium salfingeri
Mycobacterium saskatchewanense
Mycobacterium savoniae
Mycobacterium scrofulaceum
Mycobacterium senriense
Mycobacterium seoulense
Mycobacterium sherrisii
Mycobacterium shigaense
Mycobacterium shimoidei
Mycobacterium shinjukuense
Mycobacterium shottsii
Mycobacterium siernhoferi
Mycobacterium simiae
Mycobacterium simulans
Mycobacterium spongiae
Mycobacterium stomatepiae
Mycobacterium suricattae
Mycobacterium sydneyiensis
Mycobacterium syngnathidarum
Mycobacterium szulgai
Mycobacterium talmoniae
Mycobacterium terramassiliense
Mycobacterium tilburgii
Mycobacterium timonense
Mycobacterium triplex
Mycobacterium tuberculosis
Mycobacterium uberis
Mycobacterium uekiense
Mycobacterium ulcerans
Mycobacterium vicinigordonae
Mycobacterium visibile
Mycobacterium wuenschmannii
Mycobacterium xenopi
Mycobacterium yongonense
Pseudomonas
Pseudomonas aeruginosa
Saccharomyces cerevisiae
Yersinia
Yersinia pestis
